01-01 00:00:07.974 I/BOOT    (  154): MSM target 'msm8960', SoC 'Surf', HwID '109', SoC ver '65536' 
01-02 13:00:00.840 I/qrngd   (  217): qrngd has started:
01-02 13:00:00.840 I/qrngd   (  217): Reading device:'/dev/hw_random' updating entropy for device:'/dev/random'
01-02 13:00:00.880 I/qcom-bluetooth(  222): /system/etc/init.qcom.bt.sh: init.qcom.bt.sh config = onboot 
01-02 13:00:01.160 I/irsc_util(  216): irsc tool created:0xb8b49670
01-02 13:00:01.160 I/irsc_util(  216): Starting irsc tool
01-02 13:00:01.160 I/irsc_util(  216): Trying to open sec config file
01-02 13:00:01.160 I/installd(  213): installd firing up
01-02 13:00:01.170 I/DEBUG   (  206): debuggerd: Jun  3 2014 13:13:51
01-02 13:00:01.300 W/linker  (  212): libsrsprocessing.so has text relocations. This is wasting memory and is a security risk. Please fix.
01-02 13:00:01.440 I/irsc_util(  216): file_parser Number of element :0
01-02 13:00:01.440 I/irsc_util(  216): file_parser Invalid Format or Comment - '/* IPC Security Config */
01-02 13:00:01.440 I/irsc_util(  216): '
01-02 13:00:01.440 I/irsc_util(  216): file_parser Number of element :0
01-02 13:00:01.440 I/irsc_util(  216): file_parser Invalid Format or Comment - '/* <GPS QMI Service ID - 16>:<GPS QMI Instance ID - all instances>:<Client Group ID> */
01-02 13:00:01.440 I/irsc_util(  216): '
01-02 13:00:01.440 I/irsc_util(  216): file_parser Number of element :4
01-02 13:00:01.440 I/irsc_util(  216): file_parser Number of element :0
01-02 13:00:01.440 I/irsc_util(  216): file_parser Invalid Format or Comment - '/* IPC Security Config */
01-02 13:00:01.440 I/irsc_util(  216): '
01-02 13:00:01.440 I/irsc_util(  216): file_parser Number of element :0
01-02 13:00:01.440 I/irsc_util(  216): file_parser Invalid Format or Comment - '/* <GPS QMI Service ID - 16>:<GPS QMI Instance ID - all instances>:<Client Group ID> */
01-02 13:00:01.440 I/irsc_util(  216): '
01-02 13:00:01.440 I/irsc_util(  216): file_parser Number of element :4
01-02 13:00:01.440 I/irsc_util(  216): Feed the sec config info to the router
01-02 13:00:01.440 I/irsc_util(  216): Num of entries:1
01-02 13:00:01.450 I/qcom-bluetooth(  248): /system/etc/init.qcom.bt.sh: Bluetooth Address programmed successfully 
01-02 13:00:01.671 D/QSEECOMD: (  267): qseecom listener services process entry PPID = 1
01-02 13:00:01.671 D/QSEECOMAPI: (  267): QSEECom_start_app sb_length = 0x400
01-02 13:00:01.671 D/QSEECOMAPI: (  267): App is not loaded in QSEE
01-02 13:00:01.671 E/QSEECOMAPI: (  267): Error::Cannot open the file /firmware/image/keymaste.mdt
01-02 13:00:01.671 E/QSEECOMAPI: (  267): Error::Loading image failed with ret = -1
01-02 13:00:01.681 E/QSEECOMD: (  267): Loading keymaster app failied
01-02 13:00:01.681 W/linker  (  246): libmmjpeg.so has text relocations. This is wasting memory and is a security risk. Please fix.
01-02 13:00:01.681 D/QSEECOMD: (  267): Parent qseecom daemon process paused!! 
01-02 13:00:01.691 D/QSEECOMD: (  278): QSEECOM DAEMON RUNNING 
01-02 13:00:01.691 D/QSEECOMD: (  278): qseecom listener service threads starting!!! 
01-02 13:00:01.691 D/QSEECOMD: (  278): Total listener services to start = 2
01-02 13:00:01.701 W/PIL     (  279): 8960 device but no modem image found 
01-02 13:00:01.701 E/mm-camera(  246): qcamsvr_start: old_mode = 3f
01-02 13:00:01.711 D/QSEECOMD: (  278): Init dlopen(libdrmtime.so, RTLD_NOW) succeeds
01-02 13:00:01.711 D/QSEECOMD: (  278): Init::Init dlsym(g_FSHandle atime_start) succeeds
01-02 13:00:01.711 D/QSEECOMAPI: (  278): QSEECom_register_listener 11 sb_length = 0x5000
01-02 13:00:01.711 D/QSEECOMD: (  278): Init atime_start ret = 0
01-02 13:00:01.711 D/QSEECOMD: (  278): time services: Started
01-02 13:00:01.711 D/QSEECOMD: (  278): Init dlopen(libdrmfs.so, RTLD_NOW) succeeds
01-02 13:00:01.711 D/QSEECOMD: (  278): Init::Init dlsym(g_FSHandle fs_start) succeeds
01-02 13:00:01.711 D/QSEECOMAPI: (  278): QSEECom_register_listener 10 sb_length = 0x5000
01-02 13:00:01.711 D/QSEECOMD: (  278): Init fs_start ret = 0
01-02 13:00:01.711 D/QSEECOMD: (  278): file system services: Started
01-02 13:00:01.721 E/PRDrmPlugIn(  211): PRDrmPlugin::PRDrmPlugin
01-02 13:00:01.721 E/PRDrmPlugInImp(  211): PRDRMPluginAPI::create
01-02 13:00:01.721 E/PRDrmPlugInImp(  211): PRDRMPluginAPI::SetEventHandler
01-02 13:00:01.731 E/DirectVolume(  199): Vold managed volumes must have auto mount point; ignoring /storage/sdcard1
01-02 13:00:01.821 D/PPDaemon(  258): isHDMIPrimary: HDMI is not primary display
01-02 13:00:01.821 D/PPDaemon(  258): CABL version 1.1.20130401
01-02 13:00:01.821 I/SurfaceFlinger(  209): SurfaceFlinger is starting
01-02 13:00:01.831 I/SurfaceFlinger(  209): SurfaceFlinger's main thread ready to run. Initializing graphics H/W...
01-02 13:00:01.841 I/Netd    (  204): Netd 1.0 starting
01-02 13:00:01.841 W/InterfaceController(  204): Warning (dlopen failed: library "/system/lib/libnetcmdiface.so" not found) while opening the net interface command library
01-02 13:00:01.881 I/DMM     (  301): DMM available. movable_start_bytes at 
01-02 13:00:01.891 E/PRDrmPlugIn(  211): PRDrmPlugin::onGetSupportInfo, uniqueId = 0
